h = 1.000000e-03, N = 100, p_x = 9.992592e-01, p_y = 1.414233e+00, p_u = 1.023613e+00, p_v = 9.937018e-01
h = 1.000000e-03, N = 1000, p_x = 1.003972e+00, p_y = 1.003855e+00, p_u = 1.011913e+00, p_v = 1.009690e+00
h = 1.000000e-03, N = 10000, p_x = 1.144321e+00, p_y = 1.059778e+00, p_u = 1.155840e+00, p_v = 1.025631e+00
h = 1.000000e-04, N = 100, p_x = 9.999920e-01, p_y = 1.985767e+00, p_u = 1.026470e+00, p_v = 9.999372e-01
h = 1.000000e-04, N = 1000, p_x = 9.999326e-01, p_y = 1.067197e+00, p_u = 1.002431e+00, p_v = 9.993779e-01
h = 1.000000e-04, N = 10000, p_x = 1.000404e+00, p_y = 1.000403e+00, p_u = 1.001188e+00, p_v = 1.000999e+00
h = 1.000000e-05, N = 100, p_x = 9.999999e-01, p_y = 1.999857e+00, p_u = 1.026501e+00, p_v = 9.999994e-01
h = 1.000000e-05, N = 1000, p_x = 9.999993e-01, p_y = 1.874476e+00, p_u = 1.002714e+00, p_v = 9.999938e-01
h = 1.000000e-05, N = 10000, p_x = 9.999933e-01, p_y = 1.007172e+00, p_u = 1.000244e+00, p_v = 9.999379e-01
